"ALL","ВСИЧКИ"
"ANY","НЯКОИ"
"Add","Добави"
"Apply","Приложи"
"Description: %s","Описание: %s"
"Expire at: %s","Изтича на: %s"
"FALSE","ГРЕШНО"
"If %s of these conditions are %s:","Ако %s от тези условия са %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Име: %s"
"Open Chooser","Свободен избор"
"Perform following actions","Изпълни следните действия"
"Please choose a condition to add...","Моля, изберете условие за добавяне..."
"Please choose an action to add...","Моля, изберете действие за добавяне..."
"Remove","Премахни"
"Start at: %s","Започни от: %s"
"TRUE","Вярно"
"by","от"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","е"
"is not","не е"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","до"
