"Ordered","Beställd"
"Status","Status"
"An error occurred while getting requested content. Please contact the store owner.","Ett fel uppstod vid inläsning av det begärda innehållet. Vänligen kontakta butiksägaren."
"Guest checkout will only work with shareable.","Gäst kassan fungerar bara med delbara."
"Downloadable Product Options","Alternativ för Nedladdningsbar produkt"
"Title","Titel"
"Catalog Product View (Downloadable)","Produktvy (Nedladdningsbar) "
"Invoiced","Fakturerad"
"Qty","Antal"
"inline","inbäddat"
"Downloadable Information","Nedladdningsbar information"
"Order #","Order #"
"Sort Order","Sorteringsordning"
"Add New Row","Lägg till ny rad"
"From:","Från:"
"U","U"
"Back","Tillbaka"
"Invalid download link type.","Ogiltig nedladdningslänk typ."
"Price","Pris"
"download","ladda ner"
"Default Sample Title","Förvald titel för exempelprodukt"
"Open Links in New Window","Öppna länkar i nytt fönster"
"Shipped","Skickad"
"File","Fil"
"Please set resource file and link type.","Ställ resursfiler och länktyp."
"The link is not available.","Länken är inte tillgänglig."
"Cannot connect to remote host, error: %s.","Kan inte ansluta till värd, fel: %s."
"Invalid download URL host.","Ogiltig URL för hämtning värd."
"View Order","Granska beställning"
"Date","Datum"
"Move to Wishlist","Flytta till önskelistan"
"Sample","Varuprov"
"Please log in to download your product.","Vänligen logga in för att laddda ner din produkt"
"The link has expired.","Länken har gått ut."
"An error occurred while saving the file(s).","Ett fel uppstod när filen/filerna skulle sparas."
"Go to <a href=""%s"">My Downloadable Products</a>","Gå till <a href=""%s"">mina nedladdade produkter</a>"
"Downloadable product Section","Sektion för Nedladdningsbar produkt"
"Use Content-Disposition","Placering av innehåll för nedladdat data"
"Customer My Account Downloadable Items","Mitt konto, nedladdningsbara artiklar"
"Max. Downloads","Max. nerladdningar"
"Remove Item","Ta bort artikel"
"Downloadable Product","Nedladdningsbar produkt"
"Out of stock","Slut i lager"
"Start Download","Ladda ner nu"
"An error occurred while getting the requested content.","Ett fel uppstod vid inläsning av det begärda innehållet. Vänligen kontakta butiksägaren."
"In stock","I lager"
"To:","Till:"
"Availability:","Tillgänglighet:"
"Links can be purchased separately","Länkar kan köpas separat"
"Refunded","Återbetald"
"sample","varuprov"
"Disable Guest Checkout if Cart Contains Downloadable Items","Inaktivera gästkassan om varukorgen innehåller nedladdningsbara artiklar"
"Order Item Status to Enable Downloads","Orderartikelstatus för att tillåta nedladdning"
"Shareable","Delad nedladdning"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanumerisk, bindestreck och understreck rekommenderas för filnamn. Felaktig tecken ersätts med \'_\'."
"Gift Message","Presentmeddelande"
"Unlimited","Obegränsat"
"Canceled","Avbruten"
"Incl. Tax","Inkl. moms"
"Please specify product link(s).","Vänligen ange produktlänk(ar)"
"attachment","Bifogad fil"
"Default Maximum Number of Downloads","Standardvärde för maximalt antal nerladdningar"
"My Downloadable Products","Mina nedladdningsbara produkter"
"Requested link does not exist.","Den efterfrågade länken finns inte."
"Excl. Tax","Exkl. moms"
"Pending","Väntar på granskning"
"The file does not exist.","Filen finns inte."
"An error occurred while getting the requested content. Please contact the store owner.","Ett fel uppstod vid inläsning av det begärda innehållet. Vänligen kontakta butiksägaren."
"Invalid download URL scheme.","Ogiltig nedladdnings URL-schema."
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
"Default Link Title","Standardtitel för länkar"
"Message:","Meddelande:"
"Remaining Downloads","Återstående nedladdningar"
