"Viewed Products List Template","Visade produktlistmall"
"Show Report","Visa rapport"
"Show Actual Values","Visa faktiska värden"
"Show for Current","Visa för nuvarande"
"Any","Vilken som helst"
"Carts","Varukorgar"
"Shopping Cart","Varukorg"
"Select day of the month.","Välj månadens dag."
"Coupons Usage Report","Utnyttjade kupongsrapport"
"Updated At","Uppdaterades den"
"Refresh Statistics for the Last Day","Uppdatera statistik för senaste dagen"
"Refresh Statistics","Uppdatera statistik"
"Refresh Lifetime Statistics","Uppdatera all statistik"
"Hits","Träffar"
"Total invoiced","Totalt fakturerat"
"Total Invoiced vs. Paid Report","Totalt fakturerade vs. betalda - rapport"
"Total Refunded Report","Totalt återbetalda rapport"
"Total","Totalt"
"Total Shipped Report","Total levererasrapport"
"Empty Rows","Tomma rader"
"Title","Titel"
"To","Till"
"Tags Submitted by %s","Taggs inskickad av %s"
"Tag ""%s"" details","Tagg ""%s"" detaljer"
"Visible In","Synlig i"
"Subtotal","Summa (ex.moms)"
"Statistics","Statistik"
"Default Recently Viewed Products Count","Standardräkning av nyligen visade produkter"
"Default Recently Compared Products Count","Standardräkning av nyligen jämförda produkter"
"Specified","Specificerad"
"Out of stock","Slut i lager"
"Submitted In","Skickades i"
"Submitted On","Skickades den"
"Created At","Skapades den"
"Last Review","Sista recensionen"
"Search Terms","Söktermer"
"Search Query","Sökfråga"
"Results","Resultat"
"Reviews","Recensioner"
"Reports","Rapporter"
"Wishlist Report","Rapport för önskelista"
"Report","Rapport"
"Product Reviews","Produktrecensioner"
"Products Reviews","Produktrecensioner"
"Products Report","Produktrapporter"
"Poducts Report","Produktrapporter"
"Product Name","Produktnamn"
"Products Tags","Produktetiketter"
"Product Tags","Produktetiketter"
"Products in carts","Produkter i varukorgar"
"Products","Produkter"
"Price","Pris"
"Popularity","Popularitet"
"Popular Tags","Populära etiketter"
"Period","Period"
"Order Status","Orderstatus"
"Reviews for %s","Omdömen om %s"
"Invalid date specified.","Ogiltigt datum angiven"
"undefined","odefinerad"
"Recently Viewed/Compared Products","Nyligen visade/jämförda produkter"
"Recently Viewed Products","Nyligen visade produkter"
"Recently Viewed","Nyligen visad"
"Recently Compared","Nyligen jämfört"
"Recently Compared Products","Nyligen jämförda produkter"
"New Accounts","Nya konton"
"Current Month Starts","Nuvarande månadstart"
"No","Nej"
"Downloads","Nedladdningar"
"Name","Namn"
"Tax","Moms"
"Most Viewed","Mest visade"
"Match Period To","Matcha period till"
"Month","Månad"
"List of Products Recently Viewed by Visitor","Lista med nyligen visade produkter av besökare"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista över nyligen jämförda produkter och avlägsnade från jämförlistan av besökare"
"Shipping","Leverans"
"Stock Qty","Lagersaldo"
"Link","Länk"
"Add to Compare","Lägg till jämförelse"
"Add to Cart","Lägg till i varukorgen"
"Add to Wishlist","Lägg till önskelistan"
"Coupons","Kuponger"
"Customer Name","Kunds namn"
"Customers Report","Kundrapporter"
"Customer Tags","Kundetiketter"
"Customers Tags","Kunders etiketter"
"Customers Reviews","Kunders betyg"
"Customers by Orders Total","Kunder utifrån totalsumma"
"Customers by orders total","Kunder utifrån totalsumma"
"Customers by Number of Orders","Kunder utifrån antal beställningar"
"Customers by number of orders","Kunder utifrån antal beställningar"
"Customers that have wishlist: %s%","Kunder som har önskelistor: %s%"
"Customers","Kunder"
"Customer","Kund"
"Bought from wishlists","Köpta från önskelistor"
"Compared Products List Template","Jämförda produkters listmall"
"Yes","Ja"
"IP Address","Ip-adress"
"Revenue","Inkomst"
"Purchases","Inköp"
"No records found for this period.","Inga rapporter hittade för denna period."
"Index model name must be defined","Index model namnet måste vara definerad."
"ID","ID"
"Review","Granska"
"Avg. Approved Rating","Genomsnittlig godkänd betyg"
"Avg. Rating","Genomsnittlig betyg"
"Guest","Gäst"
"Applies to Any of the Specified Order Statuses","Gäller på alla ordrar med specificerad orderstatus"
"From","Från"
"Filter","Filter"
"Invoiced","Fakturerad"
"Low stock","Få i lager"
"Low Stock","Få i lager"
"Sales Report","Försäljningsrapport"
"Total Ordered Report","Försäljningsrapport"
"Sales","Försäljning"
"First Name","Förnamn"
"Excel","Excel"
"Tag Name","Etikettnamn"
"Total Tags","Etiketter totalt"
"Tags submitted to %s","Etiketter skickade till %s"
"Tag Use","Etikettanvändning"
"Tag","Etikett"
"Last Name","Efternamn"
"Email","E-post"
"Your Recently Viewed","Dina nyligen visade"
"Your Recently Compared","Dina nyligen jämförda"
"Tag Detail","Detaljer för etikett"
"Detail","Detalj"
"Day","Dag"
