"Start Time","Starttid"
"Save Log, Days","Spara Log, Dagar"
"Log cleanup Warnings","Logrensningsvarningar"
"Log Cleaning","Logrensning"
"Frequency","Frekvens"
"Error Email Sender","Epostsändare för felmeddelanden"
"Error Email Recipient","Epostmottagare för felmeddelanden"
"Error Email Template","Epostmall för felmeddelanden"
"Enable Log Cleaning","Aktivera rensning av log"
