"Enable log cleaning","Activează curăţarea logurilor"
"Error Email Recipient","Eroare email destinatar"
"Error Email Sender","Eroare email expeditor"
"Error Email Template","Eroare şablon email"
"Frequency","Frecvenţă"
"Log Cleaning","Curăţare loguri"
"Log cleanup Warnings","Avertismente curăţare loguri"
"Save log, days","Salvare log, zile"
"Start Time","Timp de start"
