"amazon_fr_default","Amazon.fr"
"cdiscount_fr_default","Cdiscount.com"
"amazon_fr_default","Amazon.fr"
"amazon_de_default","Amazon.de"
"amazon_es_default","Amazon.es"
"amazon_it_default","Amazon.it"
"amazon_uk_default","Amazon.uk"
"amazon_us_default","Amazon.com"
"pixmania_fr_default","Pixmania.fr"
"cdiscount_fr_default","Cdiscount.fr"
"rueducommerce_fr_default","Rueducommerce.fr"
"priceminister_fr_default","Priceminister.fr"
"fnac_fr_default","Fnac.fr"
"laredoute_fr_default","Laredoute.fr"
"darty_fr_default","Darty.fr"
"boulanger_fr_default","Boulanger.fr"
"mistergooddeal_fr_default","Mistergooddeal.fr"
"ldlc_fr_default","Ldlc.fr"
"google_fr_default","Google.fr"
"bol_nl_default","Bol.com"
"google_de_default","Google.de"
"google_uk_default","Google.co.uk"
"target_position","Target position"
"my_position","My position"
"Price of best seller","Price of top seller"
"Conservative","Cautious"
