"Partner","Partenaire"
"Order","Commande"
"Date","Date"
"Market Places","Places de marchés"
"Multi-channel selling","Ventes multi-canal"
"Orders","Commandes"
"Configuration","Configuration"
"Multi-channel selling : Orders","Ventes multi-canal : commandes"
"Multi-channel selling : 2xmoinscher","Ventes multi-canal : 2xmoinscher"
"Store view by default","Vue magasin par défaut"
"Filename","Nom du fichier"
"Path","Chemin"
"Sender of mails","Expéditeurs des mails"
"Receiver's name of the mail order cancellation","Nom du destinataire des mails d'annulation de commandes"
"Receiver's mail of the mail order cancellation","Email du destinataire des mails d'annulation de commandes"
"Template of mail sent in the cancellation of an order","Gabarit du mail envoyé lors de l'annulation d'une commande"
"Shipping methods","Modes de transport"
"Modes partner","Modes de transport du partenaire"
"Sender of errors","Expéditeurs des erreurs"
"Receiver of errors","Desrinataire des erreurs"
"Errors during the integration orders","Erreurs lors de l'intégration des commandes"
"The file name is not configured","Le nom du fichier n'est pas configuré"
"The path is not configured","Le chemin du fichier n'est pas configuré"
"Login","Nom de l'utilisateur"
