"﻿""Paraffine""","Paraffine"
"Béton-Paraffine","Béton;Paraffine"
"Béton-Paraffine-Métal","Béton;Paraffine;Métal"
"Céramique","Céramique"
"Verre et liège","Verre;Liège"
"Verre","Verre"
"Inox et plastique","Inox;Plastique"
"Mèche Téflonnée - corps en plastique","Téflon;Plastique"
"Inox","Inox"
"Plastique","Plastique"
"Métal","Métal"
"Nickel","Nickel"
"Caoutchouc","Caoutchouc"
"Inox et caoutchouc","Inox;Caoutchouc"
"Inox et liège","Inox;Liège"
"Inox 18/8","Inox 18/8"
"Inox 18/9","Inox 18/9"
"Acrylique","Acrylique;Inox 18/8"
"Acrylique et inox 18/8 satiné","Acrylique;Inox 18/8"
"Acrylique et inox","Acrylique;Inox"
"Altuglass","Altuglass"
"Inox 18/10","Inox 18/10"
"Polycarbonate","Polycarbonate"
"ABS","ABS"
"Inox et verre","Inox;Verre"
"Bambou","Bambou"
"Bois","Bois"
"Acier et porcelaine","Acier;Porcelaine"
"Papier","Papier"
"PVC","Plastique"
"Ardoise","Ardoise"
"Hêtre","Hêtre"
"Cristallin","Cristallin"
"Plexiglass","Plexiglass"
"Carton","Carton"
"Aluminium","Aluminium"
"Papier gaufré","Papier"
"Non-tissé ","Textile non-tissé"
"Porcelaine","Porcelaine"
"Porcelaine/bois","Porcelaine;Bois"
"Porcelaine/Verre","Porcelaine;Verre"
"Verre trempé","Verre trempé"
"Porcelaine/Métal","Porcelaine;Métal"
"Grès","Grès"
"Mélamine","Mélamine"
"Arcopal","Arcopal"
"Inox 18/10 (qualité supérieure)","Inox 18/10"
"Porcelaine et inox","Porcelaine;Inox"
"Cristallin soufflé SON.hyx (sans plomb)","Cristallin"
"Cristallin SON.hyx (sans plomb), pied renforcé titane","Cristallin;Titane"
"Cristallin soufflé","Cristallin"
"Verre mécanique","Verre mécanique"
"Cristal","Cristal"
"Verre (Kwarx)","Kwarx"
"Verre kwarx","Kwarx"
"Verre mécanique - Décor en pâte de verre colorée dans la masse et injectée","Verre mécanique"
"Verre pressé","Verre pressé"
"Verre dépoli","Verre"
"Verre et inox","Verre;Inox"
"Cristallin (sans plomb)","Cristallin"
"Verre et plastique","Verre;Plastique"
"Inox 18/10 forgé","Inox 18/10"
"Inox 18/0","Inox 18/0"
"Inox 18%","Inox 18/0"
"Inox et bois","Inox;Bois"
"Rotin","Rotin"
"Osier","Osier"
"Inox et polypropylène","Inox;Polypropylène"
"Polyrattan","Polyrattan"
"Polypropylène","Polypropylène"
"Verre (bougie non fournie)","Verre"
"Cire","Cire"
"Huile de palme","Huile de palme"
"Zinc","Zinc"
"Fonte","Fonte"
"Ethanol","Ethanol"
"Bois et Inox","Bois;Inox"
"Polyamide","Polyamide"
"Inox 18/8 et plastique","Inox 18/8;Plastique"
"Inox et chrome","Inox;Chrome"
"Bois (hêtre)","Hêtre"
"Polyéthylène","Polyéthylène"
"Polyéthylène haute densité","Polyéthylène"
"Tube en plastique et socle en inox 18/10","Plastique;Inox 18/10"
"Plexi et Inox 18/10","Plexiglass;Inox 18/10"
"Bois - Plastique floqué","Bois;Plastique"
"Bois - Plastique floqué - Tissu type velours","Bois;Plastique"
"Inox et polycarbonate","Inox;Polycarbonate"
"Inox forgé 18/10","Inox 18/10"
"Lame en céramique haute densité (95% d'oxyde de  zirconium minimum) - Manche en résine","Céramique;Résine"
"Acrylique et plastique","Acrylique;Plastique"
"Kwarx","Kwarx"
"Inox 13/0","Inox 13/0"
"Inox 18/10 (lame du couteau en inox 13/0)","Inox 18/10;Inox 13/0"
"Métal chromé","Métal"
"Acier inox","Inox"
"Verre opaque (frosted)","Verre"
"Argent","Argent"
"Manche et mitre en inox 18/10 - Lame en inox enrichi au molybdène","Inox 18/10"
"Verre et bouchon inox","Verre;Inox"
"Verre borosilicate","Verre"
"Verre pressé teinté dans la masse","Verre pressé"
"Zone d'aiguisage en poudre de diamant","Diamant;Acier"
"Porcelaine et Verre mécanique","Porcelaine;Verre mécanique"
"Planches en polyéthylène - Présentoir en inox","Polyéthylène;Inox"
"Inox 18/10 et plastique","Inox 18/10;Plastique"
"100% Silicone","Silicone"
"Silicone","Silicone"
"Acier","Acier"
"Acier et poudre de diamants","Acier;Diamant"
"Plastique, tungstène, céramique","Tungstène;Céramique;Plastique"
"Inox et métal","Inox;Métal"
"Métal argenté","Métal argenté"
"Inox et revêtement anti-adhérent","Inox;Métal anti-adhérent"
"Métal et plastique","Métal;Plastique"
"Métal étamé (recouvert d'étain)","Métal étamé"
"Polyuréthane","Polyuréthane"
"Tissu synthétique","Tissu synthétique"
"Coton","Coton"
"Inox chromé","Inox;Chrome"
"Plastique rigide","Plastique"
"Verre et silicone","Verre;Silicone"
"Inox nickelé et caoutchouc","Inox;Caoutchouc"
"Inox flexible","Inox"
"Inox 18/10 et nylon","Inox 18/10;Nylon"
"Plastique, verre","Plastique;Verre"
"Silicone et inox","Silicone;Inox"
"Silicone et inox 18/10","Silicone;Inox 18/10"
"Plastique et inox","Plastique;Inox"
"Fonte de fer","Fonte de fer"
"Verre soufflé","Verre"
"Inox et plastique - Caoutchouc","Inox;Plastique;Caoutchouc"
"Inox - Plastique","Inox;Plastique"
"Inox et Nylon","Inox;Nylon"
"Fer bleu","Fer bleu"
"Inox, plastique et caoutchouc","Inox;Plastique;Caoutchouc"
"Verre, métal et plastique","Verre;Métal;Plastique"
"Nylon","Nylon"
"Inox et marbre","Inox;Marbre"
"Inox et plastique dépoli","Inox;Plastique"
"Carton - Carton floqué","Carton;Carton floqué"
"Bois (Medium) - Carton floqué","Bois MDF;Carton floqué"
"Lame en céramique haute densité (95% d'oxyde de  zirconium minimum)","Céramique"
"Verre soufflé à la bouche","Verre"
"Fibre de bois","Fibre de bois"
"Pin laqué et inox","Pin;Inox"
"Bambou et inox","Bambou;Inox"
"Hêtre et métal","Hêtre;Métal"
"Fonte émaillée","Fonte émaillée"
"Polyester","Polyester"
"métal anti-adhérent","Métal anti-adhérent"
"Plastique PA+","Plastique PA+"
"PA+","Plastique PA+"
"Fonte d'aluminium","Fonte d'aluminium"
"Plastique PA, fibres naturelles","Plastique PA+;Fibres naturelles"
"Plastique PA, fibres nylon","Plastique PA+;Fibres nylon"
"Verre bullé","Verre"
"Verre, inox, caoutchouc dur","Verre;Inox;Caoutchouc"
"Acier japonais et bois d'ébène","Acier;Ebène"
"Céramique et bois","Céramique;Bois"
"Polypropylène et polyéthylène","Polypropylène;Polyéthylène"
"Plastique alimentaire","Plastique"
"Inox 18/10 et pvc","Inox 18/10;PVC"
"Inox et pvc","Inox;PVC"
"Inox, plastique et verre","Inox;Plastique;Verre"
"Plastique et verre","Plastique;Verre"
"Bois et plumes","Bois;Plumes"
"Fonte d'aluminium, inox 18/0 et abs","Fonte d'aluminium;Inox 18/0;ABS"
"Noir et blanc",
"Bois naturel","Bois"
"Tube en plastique","Plastique"
"Papier jetable","Papier"
"Textile non tissé","Textile non-tissé"
"Papier voie sèche","Papier voie sèche"
"Inox 18/10 - Aluminium (réflecteur)","Inox 18/10;Aluminium"
"Plastique flexible ","Plastique"
"Bambou et polypropylène","Bambou;Polypropylène"
"Papier tissu","Papier voie sèche"
"Mèche Téflonnée - corps en inox","Téflon;Inox"
"Carton et polyéthylène","Carton;Polyéthylène"
"Carton et kraft","Carton;Kraft"
"Polystyrène","Polystyrène"
