"sku","couleur"
"BGD0010011","Inox"
"BOAL01207","Inox"
"BOAL01208","Inox"
"BOAL01209","Inox"
"BOAL01210","Inox"
"BOAL01211","Inox"
"BOAL01212","Inox"
"BOAL01213","Inox"
"BOAL01214","Inox"
"BOAL01215","Inox"
"BOAL01217","Inox"
"BOAL01218","Inox"
"BOAL01219","Inox"
"BOAL01220","Inox"
"BOAL01221","Inox"
"BOAL01222","Inox"
"BOAL01223","Inox"
"BOAL01224","Inox"
"BOAL01225","Inox"
"BOAL01226","Inox"
"BOAL01227","Inox"
"BOAL01228","Inox"
"BOAL01229","Inox"
"BOAL01230","Inox"
"BOAL01231","Inox"
"BOAL01232","Inox"
"BOAL01233","Inox"
"BOAL01234","Inox"
"BOAL01235","Inox"
"BOAL01236","Inox"
"BOAL01237","Inox"
"BOAL01238","Inox"
"BOAL01239","Inox"
"BOAL01240","Inox"
"BOAL01241","Inox"
"BOAL01494","Inox"
"BOAL01495","Inox"
"BOAL01496","Inox"
"BOAL01497","Inox"
"BOAL01498","Inox"
"BOAL01499","Inox"
"BOAL01500","Inox"
"BOAL01501","Inox"
"BOAL01242","Inox"
"BOAL01243","Inox"
"BOAL01244","Inox"
"BOAL01245","Inox"
"BOAL01246","Inox"
"BOAL01247","Inox"
"BOAL01248","Inox"
"BOAL01249","Inox"
"BOAL01250","Inox"
"BOAL01251","Inox"
"BOAL01252","Inox"
"BOAL01253","Inox"
"BOAL01254","Inox"
"BOAL01255","Inox"
"BOAL01256","Inox"
"BOAL01257","Inox"
"BOAL01258","Inox"
"BOAL01259","Inox"
"BOAL01260","Inox"
"BOAL01261","Inox"
"BOAL01262","Inox"
"BOAL01263","Inox"
"BOAL01264","Inox"
"BOAL01265","Inox"
"BOAL01266","Inox"
"BOAL01267","Inox"
"BOAL01268","Inox"
"BOAL01269","Inox"
"BOAL01270","Inox"
"BOAL01271","Inox"
"BOAL01272","Inox"
"BOAL01273","Inox"
"BOAL01274","Inox"
"BOAL01275","Inox"
"BOAL01276","Inox"
"BOAL01277","Inox"
"BOAL01455","Inox"
"BOAL01456","Inox"
"BOAL01457","Inox"
"BOAL01504","Inox"
"BOAL01522","Inox"
"BOAL01523","Inox"
"BOAL01524","Inox"
"BOVE00797","Transparent"
"BCO0010011","Inox"
"BCO0010012","Inox"
"BCO0010013","Inox"
"BCO0010014","Inox"
"BCO0010015","Inox"
"BCO0010016","Inox"
"BCO0020027","Inox"
"BCO0020028","Inox"
"BCO0010017","Inox"
"BCO0020029","Inox"
"BCO0020026","Inox"
"BCO0020030","Inox"
"BCO0020031","Inox"
"BCO0030042","Inox"
"BCO0030043","Inox"
"BCO0030044","Inox"
"BCO0030045","Inox"
"BCO0030046","Inox"
"BCO0030047","Inox"
"BCO0030048","Inox"
"CGD0010005","Inox et Rouge"
"CGD0010005B","Inox et Rouge"
"CGD0010010B","Inox et Vert Anis"
"CGD0010010","Inox et Vert Anis"
"ME00117","Inox"
"CLP0010005","Verre incolore et bouchon chromé"
"CLP0010006","Verre incolore et bouchon argenté"
"CLP0010007","Verre incolore et bouchon inox"
"BCO0040053","Inox"
"BCO0040054","Inox"
"BCO0040055","Inox"
"BAR0100007","Inox"
"BAR0100008","Inox"
"BAR0100009","Inox"
"BAR0100010","Inox"
"BAR0120009","Inox"
"BAR0120010","Inox"
"BAR0120011","Inox"
"BAR0120012","Inox"
"BAR0120013","Inox"
"BAR0110007","Inox"
"BAR0110008","Inox"
"BAR0110009","Inox"
"BAR0110010","Inox"
"BET0100001","Inox"
"BET0100002","Inox"
"BET0100003","Inox"
"BET0100004","Inox"
"BET0100005","Inox"
"BET0100006","Inox"
"BET0100007","Inox"
"BET0100008","Inox"
"BET0100009","Inox"
"BET0110001","Inox"
"BET0110002","Inox"
"BET0110003","Inox"
"BET0110004","Inox"
"BET0110005","Inox"
"BET0110006","Inox"
"BET0110007","Inox"
"BET0110008","Inox"
"BET0110009","Inox"
"BET0120001","Inox"
"BET0120002","Inox"
"BET0120003","Inox"
"BET0120006","Inox"
"BET0120007","Inox"
"BET0120008","Inox"
"BET0120009","Inox"
"BET0120005","Inox"
"BET0120004","Inox"
"BET0130001","Inox"
"BET0130002","Inox"
"BET0130003","Inox"
"BET0130004","Inox"
"BET0130005","Inox"
"BET0130006","Inox"
"BET0130007","Inox"
"BET0130008","Inox"
"BET0130009","Inox"
"BET0140001","Inox"
"BET0140002","Inox"
"BET0140003","Inox"
"BET0140004","Inox"
