"-- Please Select --","-- Votre choix --"
"Add New Tax Rate","Ajouter un nouveau taux de taxe"
"Add New Class","Ajouter une nouvelle classe"
"Add New Tax Rule","Ajouter une nouvelle règle de taxe"
"Are you sure you want to do this?","Êtes-vous certains de vouloir faire cela ?"
"NONE","AUCUNE"
"Edit Class","Éditer la classe"
"Edit Class '%s'","Éditer la classe '%s'"
"Edit Tax Rate","Éditer le taux de taxe"
"State","État"
"State/Region","État/Province"
"This class no longer exists","Cette classe n'existe plus"
"This rule no longer exists","Cette règle n'existe plus"
"Customer Tax Class","Classe de taxe clients"
"Product Tax Class","Classe de taxe produits"
"Tax class was successfully saved","Classe de taxe supprimée avec succès"
"Customer Tax Classes","Classes de taxe client"
"Product Tax Classes","Classes de taxe produit"
"Zip/Post Code","Code postal"
"County","Comté"
"CSV","CSV"
"Incorrect rate Data","Données de taux incorrectes"
"Invalid data for tax rate calculation","Données invalides pour le calcul du taux de taxe"
"Error while saving this rate. Please try again later.","Erreur lors de la sauvegarde de ce taux. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Class with the same name ","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Please try again later.","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. Please try again later.","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. This product tax class and customer tax class combination","Erreur lors de la sauvegarde de cette règle de taxe. Combinaison impossible entre cette classe de taxe produit et cette classe de taxe client."
"Error while deleting this rate. Incorrect rate ID","Erreur lors de la suppression de ce taux. Identifiant de taux invalide."
"Error while deleting this rate. Please try again later.","Erreur lors de la suppression de ce taux. Veuillez réessayer ultérieurement."
"Error while deleting this class. Please try again later.","Erreur lors de la suppression de cette classe. Veuillez réessayer ultérieurement."
"Error while deleting this tax rule. Please try again later.","Erreur lors de la suppression de cette règle de taxe. Veuillez réessayer ultérieurement."
"Export Tax Rates","Exporter les taux de taxe"
"Manage Customer Tax Classes","Gérer les classes de taxe client"
"Manage Product Tax Classes","Gérer les classes de taxe produit"
"Manage Tax Rules","Gérer les règles de taxe"
"Manage Tax Rates","Gérer les taux de taxe"
"Excl. Tax","Hors taxes"
"ID","ID"
"Tax Rates Import / Export","Importer / exporter les taux de taxe"
"Import / Export Tax Rates","Importer / exporter les taux de taxe"
"Import Tax Rates","Importer les taux de taxe"
"Product Tax Class Information","Information de la classe de taxe produit"
"Tax Rate Information","Information du taux de taxe"
"Customer Tax Class Information","Informations de classe de taxe client"
"Tax Rule Information","Informations de règle de taxe"
"Tax class was successfully deleted","La classe de taxe a été sauvegardé avec succès"
"Edit Rule","Modifier la règle"
"Class Name","Nom de la classe"
"New Tax Rate","Nouveau taux de taxe"
"New Class","Nouvelle classe"
"New Rule","Nouvelle règle"
"Country","Pays"
"Tax rule was successfully saved","Règle de taxe sauvegardée avec succès"
"Tax rule was successfully deleted","Règle de taxe supprimée avec succès"
"Tax Rules","Règles de taxe"
"Reset","Réinitialiser"
"Back","Retour"
"Save Class","Sauvegarder la classe"
"Save Rule","Sauvegarder la règle"
"Save Rate","Sauvegarder le taux"
"Delete Class","Supprimer la classe"
"Delete Rule","Supprimer la règle"
"Delete Rate","Supprimer le taux"
"Tax Rates","Taux de taxe"
"Tax Rate","Taux de taxe"
"Tax rate was successfully imported","Taux de taxe importé avec succès"
"Tax rate was successfully saved","Taux de taxe sauvegardé avec succès"
"Tax rate was successfully deleted","Taux de taxe supprimé avec succès"
"Tax","Taxe"
"Inc. Tax","Taxes incluses"
"Incl. Tax","Taxes incluses"
"Invalid file format upload attempt","Tentative de téléchargement de fichier au format invalid"
"Invalid file upload attempt","Tentative de téléchargement de fichier invalide"
"One of row has invalid country code.","Une ligne a un code pays non valide."
"Sales","Ventes"
"Please select State","Veuillez sélectionner un état"
"Please select County","Veuillez sélectionner un comté"
"Please select Country","Veuillez sélectionner un pays"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Vous ne pouvez pas effacer cette classe de taxe car elle est utilisée dans les règles de taxe. Vous devez d'abord effacer les règles qui l'utilisent."
"You cannot delete this tax class as it is used for %d customer groups.","Vous ne pouvez pas effacer cette classe de taxe car elle est utilisée par %d groupes de clients."
"You cannot delete this tax class as it is used for %d products.","Vous ne pouvez pas effacer cette classe de taxe car elle est utilisée par %d produits."
"XML","XML"
