"Active","Aktivert"
"Quantity in cart","Antall i handlekurv"
"Row total in cart","Antall rader i handlekurv"
"Maximum Qty Discount is Applied to","Anvend rabatt hvis antall er under"
"Uses per customer","Anvendelser per kunde"
"Uses per coupon","Anvendelser per rabattkode"
"Cart Attribute","Attributt for handlekurv"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Payment Method","Betalingsmetode"
"Conditions","Betingelser"
"Apply","Bruk"
"Apply the rule only if the following conditions are met (leave blank for all products)","Bruk regel kun dersom følgende betingelser er oppfylt (la være blank for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Bruk regel kun på varer som oppfyller følgende betingelser (la være blank for alle varer)"
"Apply the rule to cart items matching the following conditions","Bruk regel på varer som oppfyller følgende betingelser"
"Subtotal","Delsum"
"Edit Rule","Endre regel"
"Edit Rule '%s'","Endre regel '%s'"
"Fixed amount discount","Fast rabattbeløp"
"Fixed amount discount for whole cart","Fast rabattbeløp for hele handlekurven"
"From Date","Fra dato"
"General Information","Generell informasjon"
"Apply to","Gjelder"
"Free shipping","Gratis frakt"
"Actions","Handlinger"
"For shipment with matching items","I forsendelse med like varer"
"ID","ID:"
"NOT LOGGED IN","IKKE LOGGET INN"
"Inactive","Inaktiv"
"Rule Information","Informasjon om regel"
"Yes","Ja"
"Special price","Kampanjepris"
"Promotions","Kampanjer og tilbud"
"Catalog","Katalog"
"Buy X get Y free (discount amount is Y)","Kjøp X få Y gratis (rabattbeløp er Y)"
"Conditions combination","Kombinasjon av betingelser"
"For matching items only","Kun for like varer"
"Customer registered: %s","Kunde registrert: %s"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er en ny kjøper: %s"
"Unable to find a page to delete","Kunne ikke finne en side å slette"
"Save Rule","Lagre regel"
"Shipping Country","Land for levering"
"Add New Rule","Legg til ny regel"
"Shipping State/Province","Leveringsadresse"
"Shipping Method","Leveringsmetode"
"By Fixed value","Med fast beløp"
"By Fixed Amount","Med fast beløp"
"By Percentage","Med prosent"
"By Percentage of the original price","Med prosent av opprinnelig pris"
"Name: %s","Navn: %s"
"No","Nei"
"New Rule","Ny regel"
"Update prices using the following information","Oppdater priser basert på følgende informasjon"
"Update the Product","Oppdater produktet"
"Update product's %s %s: %s","Oppdater produktets %s %s: %s"
"Shipping Postcode","Postnummer for levering"
"Priority","Prioritet"
"Price in cart","Pris i handlekurv"
"Shopping Cart Price Rule","Prisregel for handlekurv"
"Shopping Cart Price Rules","Prisregler for handlekurv"
"Products subselection","Products subselection"
"Product attribute combination","Produktattributt-kombinasjon"
"Percent of product price discount","Prosentvis rabatt av produktpris"
"Discount amount","Rabattbeløp"
"Coupon code","Rabattkode"
"Coupon Code","Rabattkode"
"Rule was successfully saved","Regelen ble lagret"
"Rule was successfully deleted","Regelen ble slettet"
"This rule no longer exists","Regelen eksisterer ikke"
"Rule Name","Regelnavn"
"Shipping Region","Region for levering"
"Public In RSS Feed","RSS-feed for tilhørighet"
"The page you are trying to save no longer exists","Siden eksisterer ikke lenger"
"Delete Rule","Slett regel"
"Start at: %s","Start den: %s"
"Date Start","Startdato"
"Status","Status"
"Discount Qty Step (Buy X)","Steg ved kvantumsrabatt (kjøp X)"
"Stop further rules processing","Stopp videre regelprosessering"
"To Date","Til dato"
"To Fixed Amount","Til fast beløp"
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"To Percentage of the original price","Til prosent av opprinnelig pris"
"Total Weight","Total vekt"
"Total Items Quantity","Totalt antall"
"Expire at: %s","Utløper: %s"
"Date Expire","Utløpsdato"
