"-- Please Select --","-- Vennligst velg --"
"Enable","Aktiver"
"All fields of script types have to be filled.","Alle f elt må være fylt ut."
"Other","Andre"
"Attributes","Attributer"
"Use Default","Bruk standard"
"Use Default Values","Bruk standarverdier"
"Conversion Script","Conversion script"
"Conversion Page","Conversion Side"
"Conversion Page URL","Conversion Side URL"
"One Page Checkout","Enkelside Checkout"
"Multi Address Checkout","Fler-adresse Checkout"
"Google Optimizer Scripts","Google Optimizer Script"
"Google Website Optimizer","Google Website Optimizer "
"Shopping Cart","Handlekurv"
"Install Scripts","Installer script"
"Category View Optimization","Kategori-optimalisering"
"Control Script","Kontrollscript"
"Limit is 8 attributes only.","Maks 8 attributer."
"Order Success (Multi Address Checkout)","Ordre godkjent (Multi Address Checkout)"
"Order Success (One Page Checkout)","Ordre godkjent (One Page Checkout)"
"Original Page","Orginal side"
"Please copy and paste this value to experiment edit form","Please copy and paste this value to experiment edit"
"Please select store view to see the URL","Please select store view to see the URL in"
"Product View Optimization","Product View Optimization "
"Account Registration","Registrering"
"Scripts Install URL","Script Installasjon URL"
"Page View Optimization","Side view Optimization"
"Page Type","Sidetype"
"Tracking Script","Tracking Scripts"
"Variant Page","Variant Side"
