"Guest","Επισκέπτης"
"Refunded","Επιστροφές Χρημάτων"
"Wishlists","Λίστες Επιθυμητών"
"Detail","Λεπτομέρεια"
"Tag ""%s"" details","Λεπτομέρειες ετικέτας ""%s"""
"Tag Detail","Λεπτομέρειες Ετικέτας"
"Offline Refunded","Offline Επιστροφές χρημάτων"
"Online Refunded","Online Επιστροφές χρημάτων"
"Product Sku","Sku Προϊόντος"
"Total invoiced captured","Total invoiced captured"
"Total invoiced not captured","Total invoiced not captured"
